# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sub.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   0000e101   00000204   x10_a0     00000000
               7   N   00000204   00004e01   00000206   ---        --------
               8   N   00000206   00000297   00000208   x28_t3     00000000
               9   N   00000208   fb828293   0000020c   x05_t0     00000208
              10   N   0000020c   30529073   00000210   x05_t0     000001c0
              11   N   00000210   00004505   00000214   ---        --------
              12   N   00000214   0000057e   00000216   x10_a0     00000001
              13   N   00000216   00054863   00000218   x10_a0     80000000
              14   N   00000218   0ff0000f   00000228   ---        --------
              17   N   00000228   00028d63   0000022c   x05_t0     00000000
              18   N   0000022c   10529073   00000246   ---        --------
              22   N   00000246   00020297   0000024a   ---        --------
              23   N   0000024a   00000297   0000024a   ---        --------
              24   N   0000024a   30008293   0000024e   x05_t0     0000024a
              26   N   0000024e   00009073   00000252   x05_t0     000002a0
              28   N   00000252   05622573   00000256   ---        --------
              30   N   00000256   34120073   0000025a   x10_a0     00000000
              33   N   0000025a   00000000   000002a0   ---        --------
              36   N   000002a0   00004101   000002a2   x01_ra     00000000
              37   N   000002a2   402081b3   000002a4   x02_sp     00000000
              38   N   000002a4   00004e81   000002a8   x03_gp     00000000
              39   N   000002a8   00004e09   000002aa   x29_t4     00000000
              40   N   000002aa   35d19363   000002ac   x28_t3     00000002
              41   N   000002ac   00004085   000002b0   ---        --------
              42   N   000002b0   00004105   000002b2   x01_ra     00000001
              43   N   000002b2   402081b3   000002b4   x02_sp     00000001
              44   N   000002b4   00004e81   000002b8   x03_gp     00000000
              45   N   000002b8   00004e0d   000002ba   x29_t4     00000000
              46   N   000002ba   33d19b63   000002bc   x28_t3     00000003
              47   N   000002bc   0000408d   000002c0   ---        --------
              48   N   000002c0   0000411d   000002c2   x01_ra     00000003
              49   N   000002c2   402081b3   000002c4   x02_sp     00000007
              50   N   000002c4   ffc00e93   000002c8   x03_gp     fffffffc
              51   N   000002c8   00004e11   000002cc   x29_t4     fffffffc
              52   N   000002cc   33d19263   000002ce   x28_t3     00000004
              53   N   000002ce   00004081   000002d2   ---        --------
              54   N   000002d2   ffff8137   000002d4   x01_ra     00000000
              55   N   000002d4   402081b3   000002d8   x02_sp     ffff8000
              56   N   000002d8   00006ea1   000002dc   x03_gp     00008000
              57   N   000002dc   00004e15   000002de   x29_t4     00008000
              58   N   000002de   31d19963   000002e0   x28_t3     00000005
              59   N   000002e0   800000b7   000002e4   ---        --------
              60   N   000002e4   00004101   000002e8   x01_ra     80000000
              61   N   000002e8   402081b3   000002ea   x02_sp     00000000
              62   N   000002ea   41010eb7   000002ee   x03_gp     80000000
              64   N   000002ee   00004e19   000002f2   x29_t4     80000000
              65   N   000002f2   2fd19f63   000002f4   x28_t3     00000006
              66   N   000002f4   800000b7   000002f8   ---        --------
              67   N   000002f8   ffff8137   000002fc   x01_ra     80000000
              68   N   000002fc   402081b3   00000300   x02_sp     ffff8000
              69   N   00000300   80008eb7   00000304   x03_gp     80008000
              70   N   00000304   00004e1d   00000308   x29_t4     80008000
              71   N   00000308   2fd19463   0000030a   x28_t3     00000007
              72   N   0000030a   00004081   0000030e   ---        --------
              73   N   0000030e   00008137   00000310   x01_ra     00000000
              74   N   00000310   0000117d   00000314   x02_sp     00008000
              75   N   00000314   402081b3   00000316   x02_sp     00007fff
              76   N   00000316   00007ee1   0000031a   x03_gp     ffff8001
              77   N   0000031a   00000e85   0000031c   x29_t4     ffff8000
              78   N   0000031c   00004e21   0000031e   x29_t4     ffff8001
              79   N   0000031e   2dd19963   00000320   x28_t3     00000008
              80   N   00000320   800000b7   00000324   ---        --------
              81   N   00000324   000010fd   00000328   x01_ra     80000000
              82   N   00000328   00004101   0000032a   x01_ra     7fffffff
              83   N   0000032a   402081b3   0000032c   x02_sp     00000000
              84   N   0000032c   80000eb7   00000330   x03_gp     7fffffff
              85   N   00000330   00001efd   00000334   x29_t4     80000000
              86   N   00000334   00004e25   00000336   x29_t4     7fffffff
              87   N   00000336   2bd19d63   00000338   x28_t3     00000009
              88   N   00000338   800000b7   0000033c   ---        --------
              89   N   0000033c   000010fd   00000340   x01_ra     80000000
              90   N   00000340   00008137   00000342   x01_ra     7fffffff
              91   N   00000342   0000117d   00000346   x02_sp     00008000
              92   N   00000346   402081b3   00000348   x02_sp     00007fff
              93   N   00000348   7fff8eb7   0000034c   x03_gp     7fff8000
              94   N   0000034c   00004e29   00000350   x29_t4     7fff8000
              95   N   00000350   2bd19063   00000352   x28_t3     0000000a
              96   N   00000352   4e2900b7   00000356   ---        --------
              98   N   00000356   2bd18137   0000035a   x01_ra     80000000
             100   N   0000035a   0000117d   0000035e   x02_sp     00008000
             101   N   0000035e   402081b3   00000360   x02_sp     00007fff
